Archivo;Cara;Ojo;Pupila;Blanco;Negro;Rojo;Amarillo;Flash;Positivo;Detalles;Altura de cara
\Neg21,jpg;99;99;1;0;0,714285714;0,285714286;0;false;false;seleccion manual;144
\Neg21,jpg;99;99;2;0;0,537037037;0,462962963;0;false;false;seleccion manual;201
\Neg21,jpg;99;99;3;0;0,1875;0,8125;0;false;false;seleccion manual;192
\Neg21,jpg;99;99;4;0;0,486486486;0,513513514;0;false;false;seleccion manual;
\Neg21,jpg;99;99;5;0,035714286;0,053571429;0,910714286;0;false;false;seleccion manual;
\Neg22,jpg;1;1;1;0,176470588;0;0,823529412;0;true;false;;685
\Neg22,jpg;1;3;1;0,225490196;0;0,774509804;0;true;false;;685
\Neg22,jpg;1;4;1;0;0;1;0;true;false;falso ojo;685
\Neg23,jpg;1;1;1;0,032967033;0,164835165;0,802197802;0;true;false;parcial;331
\Neg23,jpg;1;2;1;0,078651685;0,314606742;0,606741573;0;true;false;parcial;331
\Neg23,jpg;99;99;1;0,039215686;0,235294118;0,725490196;0;true;false;seleccion manual;331
\Neg23,jpg;99;99;2;0,034482759;0,034482759;0,931034483;0;true;false;seleccion manual;331
\Neg24,jpg;2;1;1;0;0,992559524;0,001488095;0,005952381;false;false;iris;591
\Neg24,jpg;2;2;1;0;1;0;0;false;false;iris;591
\Neg24,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;591
\Neg24,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;591
\Neg25,jpg;1;1;1;0,05511811;0,94488189;0;0;false;false;iris;365
\Neg25,jpg;1;2;1;0;0,515151515;0,484848485;0;false;false;parcial;365
\Neg25,jpg;99;99;1;0,038888889;0,95;0,011111111;0;false;false;seleccion manual;365
\Neg25,jpg;99;99;2;0,045918367;0,852040816;0,102040816;0;false;false;seleccion manual;365
\Neg26,jpg;1;1;1;0;0,204301075;0;0,795698925;true;false;;546
\Neg26,jpg;1;2;1;0,003875969;0,509043928;0,23255814;0,254521964;true;false;mayor;546
\Neg26,jpg;99;99;1;0;0,543252595;0,07266436;0,384083045;true;false;seleccion manual;546
\Neg27,jpg;1;1;1;0;1;0;0;false;false;invalido;373
\Neg27,jpg;1;2;1;0;1;0;0;false;false;mayor;373
\Neg27,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;373
\Neg27,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;373
\Neg28,jpg;1;1;1;0;1;0;0;false;false;;338
\Neg28,jpg;1;2;1;NaN;NaN;NaN;NaN;false;false;iris;338
\Neg28,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;338
\Neg28,jpg;99;99;1;NaN;NaN;NaN;NaN;false;false;seleccion manual;338
\Neg29,jpg;1;1;1;0;1;0;0;false;false;mayor;101
\Neg29,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;101
\Neg29,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;101
\Neg30,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg30,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;
;;;;;;;;;;;
promedio positivos total con flash;;;;0,657366638;0,235868887;0,050324233;0,056440242;;;;
promedio positivos optimo con flash;;;;0,721257042;0,17619155;0,035554187;0,066997221;;;;
promedio positivos automatico con flash sin invalidos;;;;0,596778332;0,267908051;0,049748431;0,085565186;;;;
minimos positivos total con flash;;;;0;0;0;0;;;;
minimos positivos optimos con flash;;;;0;0;0;0;;;;
minimos positivos automatico con flash sin invalido;;;;0;0;0;0;;;;
maximos positivos total con flash;;;;1;1;0,486238532;1;;;;
maximos positivos optimos con flash;;;;1;1;0,486238532;1;;;;
maximos positivos automatico con flash sin invalido;;;;1;0,976190476;0,26;1;;;;
promedio negativos total con flash;;;;0,076197592;0,330555792;0,565562374;0,027684242;;;;
promedio negativos optimo con flash;;;;0,084793417;0,278766603;0,59967447;0,03676551;;;;
promedio negativos automatico con flash sin invalidos ni falsos ojos;;;;0,042905379;0,358230692;0,555646707;0,043217222;;;;
minimos negativos total con flash;;;;0;0;0;0;;;;
minimos negativos optimos con flash;;;;0;0;0;0;;;;
minimos negativos automatico con flash sin invalido y sin falsos ojos;;;;0;0;0;0;;;;
maximos negativos total con flash;;;;1;1;1;0,805555556;;;;
maximos negativos optimos con flash;;;;1;1;1;0,805555556;;;;
maximos negativos automatico con flash sin invalido y sin flasos ojos;;;;0,225490196;1;1;0,805555556;;;;
