Archivo,Cara,Ojo,Pupila,Blanco,Negro,Rojo,Amarillo,Flash,Positivo
"\Neg12.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg12.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg13.jpg","1","2","1","0.0","0.9329608938547486","0.0670391061452514","0.0","false","false","iris"
"\Neg13.jpg","1","3","1","0.0","1.0","0.0","0.0","false","false","mayor"
"\Neg13.jpg","2","1","1","0.0","0.9891304347826086","0.010869565217391304","0.0","false","false","iris"
"\Neg13.jpg","2","2","1","0.0","0.9727891156462585","0.027210884353741496","0.0","false","false","mayor"
"\Neg13.jpg","3","1","1","0.0","0.9166666666666666","0.0","0.08333333333333333","false","false","parcial"
"\Neg13.jpg","3","2","1","0.0","0.9877300613496932","0.0","0.012269938650306749","false","false","iris"
"\Neg13.jpg","4","1","1","0.0","0.9660194174757282","0.03398058252427184","0.0","false","false","mayor"
"\Neg13.jpg","4","2","1","0.0","0.9869281045751634","0.013071895424836602","0.0","false","false","parcial"
"\Neg13.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg13.jpg","99","99","2","0.0","0.9656862745098039","0.03431372549019608","0.0","false","false","seleccion manual"
"\Neg13.jpg","99","99","3","0.0","0.9831932773109243","0.01680672268907563","0.0","false","false","seleccion manual"
"\Neg13.jpg","99","99","4","0.0","0.9829059829059829","0.017094017094017096","0.0","false","false","seleccion manual"
"\Neg13.jpg","99","99","5","0.0","0.9837837837837838","0.0","0.016216216216216217","false","false","seleccion manual"
"\Neg13.jpg","99","99","6","0.0","0.9871794871794872","0.0","0.01282051282051282","false","false","seleccion manual"
"\Neg13.jpg","99","99","7","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg13.jpg","99","99","8","0.0","0.967741935483871","0.03225806451612903","0.0","false","false","seleccion manual"
"\Neg14.jpg","1","1","1","0.0763888888888889","0.9236111111111112","0.0","0.0","true","false",
"\Neg14.jpg","1","2","1","0.0763888888888889","0.9236111111111112","0.0","0.0","true","false",
"\Neg15.jpg","1","1","1","0.0","1.0","0.0","0.0","false","false","invalido"
"\Neg15.jpg","1","2","1","0.0","1.0","0.0","0.0","false","false","invalido"
"\Neg15.jpg","1","3","1","0.03571428571428571","0.0","0.9642857142857143","0.0","false","false","falso ojo"
"\Neg15.jpg","1","4","1","0.0","0.0","1.0","0.0","false","false","falso ojo"
"\Neg15.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg15.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
